timestamp,avg_chunk_proc_ms,avg_audio_read_ms,chunk_duration_ms,realtime_ratio
1778360035.8151414,23.72,22.02,23.22,1.02
1778360045.816365,23.72,22.01,23.22,1.02
1778360055.8177679,23.69,21.86,23.22,1.02
1778360065.8200614,23.71,21.94,23.22,1.02
1778360075.8223612,23.71,22.03,23.22,1.02
1778360085.8237925,23.68,21.92,23.22,1.02
1778360095.8252056,23.71,22.0,23.22,1.02
1778360105.8285186,23.71,22.0,23.22,1.02
1778360115.8304915,23.71,22.04,23.22,1.02
1778360125.8332372,23.7,21.93,23.22,1.02
1778360135.8357298,23.71,21.95,23.22,1.02
1778360145.8379638,23.71,21.97,23.22,1.02
1778360155.8402016,23.69,22.01,23.22,1.02
1778360165.841378,23.71,22.08,23.22,1.02
1778360175.8429413,23.71,22.03,23.22,1.02
1778362847.0836837,23.7,21.99,23.22,1.02
1778362857.0832872,23.7,21.87,23.22,1.02
1778362878.994959,23.71,21.95,23.22,1.02
1778362888.9969635,23.71,22.02,23.22,1.02
