timestamp,avg_beat_detect_ms,beats_detected,avg_audio_to_led_ms,avg_blink_delay_ms
1778360035.816177,0.07,16,0.31,0.9
1778360045.8171694,0.06,24,0.22,1.12
1778360055.8185885,0.06,30,0.25,1.29
1778360065.825195,0.06,40,0.39,1.28
1778360075.8231988,0.05,47,0.42,1.3
1778360085.8245988,0.05,54,0.44,1.44
1778360095.825941,0.05,65,0.49,1.49
1778360105.8292751,0.05,73,0.6,1.19
1778360115.831235,0.05,84,0.72,1.35
1778360125.8339906,0.07,93,0.8,1.41
1778360135.8365345,0.08,98,0.78,1.28
1778360145.8386807,0.09,107,0.76,1.53
1778360155.8410075,0.09,113,0.78,1.24
1778360165.8420491,0.09,119,0.83,1.05
1778360175.843601,0.09,129,0.85,1.12
1778362847.084436,0.06,19,0.68,0.96
1778362857.0839365,0.06,30,0.45,1.07
1778362878.9957325,0.22,5,1.03,1.02
1778362888.9979522,0.13,10,0.54,1.02
