timestamp,frame_interval_ms,frame_jitter_ms,frame_gen_ms,render_ms,lock_wait_ms,total_frame_ms
1778358236.7158306,353.15,5794.45,0.05,5.58,0.01,5.62
1778358248.8086047,331.03,10739.64,0.05,5.43,0.01,5.47
1778359375.0456371,89.1,1384.62,0.09,5.46,0.01,5.55
1778359378.7487204,111.75,1935.93,0.26,5.51,0.01,5.77
1778369357.6752503,136.86,8848.65,0.04,4.97,0.0,5.01
1778369360.7077942,35.26,2.22,0.04,5.07,0.0,5.11
1778369363.719759,35.44,4.85,0.04,5.21,0.0,5.25
1778369366.7260072,35.36,6.12,0.04,5.15,0.0,5.19
1778369369.732678,35.37,7.34,0.04,5.12,0.0,5.16
1778369372.7421677,35.37,5.42,0.04,5.12,0.0,5.16
1778369375.7534122,35.41,6.9,0.04,5.2,0.0,5.24
1778369378.7738655,35.48,2.35,0.04,5.29,0.0,5.33
1778369381.790421,35.47,4.96,0.04,5.26,0.0,5.3
