timestamp,avg_chunk_proc_ms,avg_audio_read_ms,chunk_duration_ms,realtime_ratio
1778381022.3293319,23.71,21.87,23.22,1.02
1778386525.6036787,23.7,21.83,23.22,1.02
1778386535.604839,23.69,21.86,23.22,1.02
1778386545.6056354,23.68,21.84,23.22,1.02
1778386555.6083343,23.59,21.73,23.22,1.02
1778386565.609603,23.71,22.0,23.22,1.02
1778386575.611085,23.62,21.87,23.22,1.02
1778386585.6126525,23.62,21.91,23.22,1.02
1778386595.614594,23.69,21.86,23.22,1.02
1778386605.6155348,23.58,21.75,23.22,1.02
1778386615.6166284,23.63,21.84,23.22,1.02
1778386625.617496,23.6,21.78,23.22,1.02
1778386635.617985,23.66,21.82,23.22,1.02
1778386645.6204555,23.7,21.91,23.22,1.02
1778386655.6217039,23.67,21.93,23.22,1.02
1778386665.623045,23.71,21.95,23.22,1.02
1778386675.6244373,23.7,21.89,23.22,1.02
1778386685.6248686,23.7,21.95,23.22,1.02
1778386795.417464,23.69,21.82,23.22,1.02
1778386805.4181826,23.72,21.93,23.22,1.02
1778386815.4182322,23.69,21.86,23.22,1.02
1778386825.4199102,23.71,21.95,23.22,1.02
1778386835.42221,23.72,21.97,23.22,1.02
1778386845.4238095,23.69,21.62,23.22,1.02
1778386855.4251845,23.71,21.94,23.22,1.02
1778386865.4281805,23.73,21.91,23.22,1.02
1778387268.1192217,23.71,21.82,23.22,1.02
1778387517.2224674,23.7,21.95,23.22,1.02
1778387767.9858866,23.76,22.07,23.22,1.02
1778387777.9862695,23.71,21.85,23.22,1.02
1778387892.4190679,23.7,21.74,23.22,1.02
1778387902.4214475,23.71,22.0,23.22,1.02
1778388104.7641277,23.7,21.76,23.22,1.02
1778388114.7652636,23.71,21.61,23.22,1.02
1778388124.7669728,23.69,21.6,23.22,1.02
1778388134.7669997,23.71,21.73,23.22,1.02
1778388144.7689955,23.71,21.84,23.22,1.02
1778388154.770537,23.69,21.88,23.22,1.02
1778388164.7711692,23.71,21.9,23.22,1.02
1778388240.176061,23.71,21.01,23.22,1.02
1778388250.1776366,23.71,21.93,23.22,1.02
1778388260.178514,23.69,21.95,23.22,1.02
1778388270.181418,23.71,21.91,23.22,1.02
1778388280.183517,23.71,21.92,23.22,1.02
1778388783.9555626,23.7,21.94,23.22,1.02
1778388793.9583101,23.71,21.9,23.22,1.02
1778388803.958824,23.7,21.87,23.22,1.02
1778388813.9609864,23.71,22.02,23.22,1.02
1778388823.9633274,23.71,21.9,23.22,1.02
1778388833.964969,23.68,21.96,23.22,1.02
1778388954.3676777,23.71,22.0,23.22,1.02
1778389166.037323,23.71,21.98,23.22,1.02
1778389176.0386336,23.71,21.93,23.22,1.02
