timestamp,avg_beat_detect_ms,beats_detected,avg_audio_to_led_ms,avg_blink_delay_ms
1778381022.3306124,0.08,13,0.84,3.04
1778386525.604509,0.1,18,0.42,0.76
1778386535.6054804,0.08,31,0.33,1.05
1778386545.6063006,0.07,39,0.31,1.03
1778386555.609032,0.07,50,0.26,0.89
1778386565.6102731,0.06,57,0.27,1.13
1778386575.6117463,0.06,66,0.46,1.11
1778386585.61333,0.06,80,0.54,1.23
1778386595.6152918,0.06,86,0.58,1.27
1778386605.6161025,0.07,95,0.62,1.55
1778386615.6172838,0.08,104,0.68,1.7
1778386625.6182632,0.09,111,0.68,1.71
1778386635.6186452,0.1,125,0.76,1.78
1778386645.6211264,0.1,132,0.76,1.88
1778386655.622302,0.11,139,0.8,1.61
1778386665.6237054,0.12,147,0.82,1.8
1778386675.6251109,0.12,155,0.88,1.74
1778386685.6255383,0.12,160,0.83,1.49
1778386795.4182436,0.09,18,1.05,1.48
1778386805.4190402,0.07,33,0.96,1.63
1778386815.4190164,0.07,40,1.01,1.61
1778386825.4206681,0.06,53,0.93,1.61
1778386835.423001,0.06,59,0.96,1.44
1778386845.424542,0.06,70,1.4,1.47
1778386855.426069,0.06,79,1.41,1.41
1778386865.4293053,0.06,87,1.42,1.19
1778387268.1198523,0.22,6,1.11,1.31
1778387767.9904552,0.16,4,1.96,1.35
1778387777.9869874,0.09,12,1.58,1.8
1778387902.4221096,0.18,6,1.23,1.0
1778388104.764872,0.22,6,1.1,1.17
1778388114.7660203,0.15,10,1.06,0.6
1778388124.7676508,0.16,18,0.98,1.55
1778388134.7676415,0.15,33,1.42,1.76
1778388144.7697737,0.13,44,1.38,1.6
1778388154.7711885,0.11,53,1.26,1.44
1778388164.7718263,0.11,59,1.26,1.45
1778388240.1768441,0.11,7,14.45,2.44
1778388250.178345,0.08,14,7.78,2.8
1778388260.1790583,0.07,20,6.02,2.47
1778388270.1821792,0.07,27,4.73,2.31
1778388280.1842265,0.06,33,3.99,2.05
1778388783.9561932,0.05,19,0.89,0.99
1778388793.9589493,0.05,39,1.26,1.04
1778388803.9594657,0.05,48,1.38,0.96
1778388813.9616833,0.05,57,1.41,0.95
1778388823.963929,0.08,65,1.47,0.82
1778388833.965675,0.09,68,1.52,0.7
1778388954.368387,0.35,3,2.48,1.62
1778389166.0411022,0.26,4,0.57,1.21
1778389176.0393605,0.16,8,0.31,1.32
