timestamp,action,latency_ms,pacer_name,pacer_type,pace,distance
1778358823.8957405,start,36.89,Adam 200 at 30,constant,4,5
1778358824.9080424,stop,23.23,Adam 200 at 30,constant,4,5
1778358836.5944986,start,30.31,Adam 200 at 30,constant,4,5
1778358837.7438624,stop,30.17,Adam 200 at 30,constant,4,5
1778358838.3526032,start,4.84,Adam 200 at 30,constant,4,5
1778358838.9234838,stop,30.75,Adam 200 at 30,constant,4,5
1778358839.301734,start,4.1,Adam 200 at 30,constant,4,5
1778358839.6823318,stop,80.49,Adam 200 at 30,constant,4,5
1778358839.8900478,start,4.91,Adam 200 at 30,constant,4,5
1778358840.2199237,stop,36.7,Adam 200 at 30,constant,4,5
1778358840.371539,start,3.65,Adam 200 at 30,constant,4,5
1778358840.68074,stop,42.39,Adam 200 at 30,constant,4,5
1778358841.8420887,start,32.16,Adam 200 at 30,constant,4,5
1778358843.7238362,stop,21.66,Adam 200 at 30,constant,4,5
1778358847.083103,start,30.18,x,dynamic,8,5
1778358848.3472764,stop,22.77,x,dynamic,8,5
1778358849.3034708,start,31.05,x,dynamic,8,5
1778358850.8435185,stop,24.28,x,dynamic,8,5
1778358852.0218585,start,30.47,x,dynamic,8,5
1778358852.9568434,stop,24.74,x,dynamic,8,5
1778358854.4875748,start,31.03,x,dynamic,8,5
1778358857.2199483,stop,33.69,x,dynamic,8,5
1778358858.5410802,start,31.16,Adam 200 at 30,constant,4,5
1778358858.5643709,start,4.29,x,dynamic,8,5
1778358868.3358533,stop,10.34,Adam 200 at 30,constant,4,5
1778358868.3799741,stop,31.14,x,dynamic,8,5
1778358869.2712991,start,30.27,Adam 200 at 30,constant,4,5
1778358869.293256,start,3.67,x,dynamic,8,5
1778358877.767807,stop,4.15,Adam 200 at 30,constant,4,5
1778358877.8074412,stop,22.47,x,dynamic,8,5
1778358879.0186746,start,29.78,Adam 200 at 30,constant,4,5
1778358879.0391905,start,3.66,x,dynamic,8,5
1778358880.2826512,stop,11.07,Adam 200 at 30,constant,4,5
1778358880.3141906,stop,22.28,x,dynamic,8,5
1778358881.69973,start,31.26,Adam 200 at 30,constant,4,5
1778358881.7222579,start,4.28,x,dynamic,8,5
1778358882.7550013,stop,21.35,Adam 200 at 30,constant,4,5
1778358882.7865229,stop,22.47,x,dynamic,8,5
1778358884.107841,start,220.34,Adam 200 at 30,constant,4,5
1778358884.1316378,start,3.65,x,dynamic,8,5
1778358885.2193096,stop,12.87,Adam 200 at 30,constant,4,5
1778358885.2736156,stop,37.87,x,dynamic,8,5
1778358886.4088538,start,30.08,Adam 200 at 30,constant,4,5
1778358886.4324114,start,3.65,x,dynamic,8,5
1778358887.6234426,stop,11.78,Adam 200 at 30,constant,4,5
1778358887.6621313,stop,22.76,x,dynamic,8,5
1778358888.7440434,start,31.03,Adam 200 at 30,constant,4,5
1778358888.7692459,start,4.35,x,dynamic,8,5
1778358889.878258,stop,20.43,Adam 200 at 30,constant,4,5
1778358889.92251,stop,33.37,x,dynamic,8,5
1778358891.090778,start,30.24,Adam 200 at 30,constant,4,5
1778358891.113445,start,3.64,x,dynamic,8,5
1778358892.2624528,stop,11.76,Adam 200 at 30,constant,4,5
1778358892.3046274,stop,26.53,x,dynamic,8,5
1778362717.09156,start,31.14,Adam 200 at 30,constant,4,5
1778362717.1226747,start,3.8,x,dynamic,8,5
1778362863.7195594,stop,21.65,Adam 200 at 30,constant,4,5
1778362863.7341058,stop,6.25,x,dynamic,8,5
