timestamp,frame_interval_ms,frame_jitter_ms,collect_ms,render_ms,lock_wait_ms,total_ms
1778358122.0810676,149.18,6306.92,0.04,3.24,0,3.28
1778358123.2515507,23.41,4.12,0.04,3.16,0,3.2
1778358124.419899,23.37,1.57,0.04,3.21,0,3.25
1778358125.5894601,23.39,1.81,0.03,3.19,0,3.22
1778358126.7471871,23.15,21.82,0.03,3.19,0,3.22
1778358127.9179451,23.42,5.89,0.14,2.87,0,3.01
1778358129.110435,23.86,34.29,0.03,2.73,0,2.76
1778358130.27521,23.29,2.11,0.03,3.23,0,3.27
1778358131.443597,23.37,2.55,0.03,3.15,0,3.18
1778358132.610641,23.34,1.62,0.03,3.19,0,3.22
1778358133.782549,23.44,7.34,0.01,3.02,0,3.03
1778358134.9340394,23.04,27.37,0.01,2.71,0,2.72
1778358136.1010911,23.33,16.81,0.04,3.22,0,3.27
1778358137.2676027,23.33,3.09,0.04,3.25,0,3.29
1778358138.4421606,23.49,7.82,0.04,3.28,0,3.33
1778358139.6237967,23.64,6.91,0.03,3.15,0,3.18
1778358140.7625883,23.08,27.29,2.78,3.36,0,6.14
1778358156.4624453,313.7,14537.17,0.04,2.51,0,2.55
1778358157.636427,23.41,3.49,0.05,12.1,0,12.15
1778358160.7702835,62.73,1986.93,0.04,3.25,0,3.3
1778358164.1460624,67.52,2225.48,0.05,3.25,0,3.3
1778358165.3211243,23.5,5.1,0.04,3.26,0,3.3
1778358166.4927561,23.37,2.28,0.05,12.13,0,12.18
1778358169.6783552,63.77,2034.58,0.04,3.2,0,3.24
1778358173.1825616,70.09,2359.1,0.03,2.82,0,2.85
1778358174.353434,23.41,14.45,0.05,3.29,0,3.34
1778358175.530889,23.55,14.59,0.03,3.12,0,3.15
1778358185.194777,193.28,8514.17,0.03,3.22,0,3.24
1778358186.3599427,23.3,2.43,0.06,3.32,0,3.39
1778358190.5456553,83.72,3032.27,0.03,3.12,0,3.15
1778358191.7186842,23.46,5.76,0.03,3.21,0,3.24
1778358836.7004352,432.79,11691.41,0.02,2.23,0,2.25
1778358838.4642692,35.26,610.27,0.04,2.83,0,2.87
1778358840.1791492,34.28,377.87,0.03,3.65,0,3.68
1778358842.617198,48.77,1151.08,0.03,3.14,0,3.17
1778358847.119953,90.05,3353.84,0.07,3.24,0,3.31
