timestamp,current_bpm,average_bpm,beat_count
1778388774.9559598,120.4,120.4,1
1778388775.454583,120.3,120.4,2
1778388775.9533155,120.3,120.3,3
1778388776.3320293,122.7,120.9,4
1778388776.8315475,124.1,121.6,5
1778388777.3299756,124.6,122.1,6
1778388777.8292685,124.6,122.4,7
1778388778.2073793,126.8,123.0,8
1778388778.7080185,127.7,123.5,9
1778388779.208512,127.6,123.9,10
1778388779.707396,126.9,124.2,11
1778388780.2050014,126.0,124.3,12
1778388780.5877826,127.3,124.6,13
1778388781.0866604,127.6,124.8,14
1778388781.5837631,127.3,125.0,15
1778388782.0827456,126.4,125.0,16
1778388782.4652495,127.9,125.2,17
1778388782.9598973,128.3,125.4,18
1778388783.459501,127.8,125.5,19
1778388783.9600286,126.9,125.6,20
1778388784.4579334,125.8,125.6,21
1778388784.8409154,127.1,125.7,22
1778388785.336262,127.4,125.7,23
1778388785.834614,127.0,125.8,24
1778388786.3353934,126.1,125.8,25
1778388786.7078712,127.8,125.9,26
1778388787.2143407,128.1,126.0,27
1778388787.7106698,127.6,126.0,28
1778388788.2107306,126.7,126.0,29
1778388788.7090404,125.7,126.0,30
1778388789.0928984,126.9,126.1,31
1778388789.5884013,127.2,126.1,32
1778388790.0863914,126.9,126.1,33
1778388790.5827577,126.1,126.1,34
1778388790.9648964,127.7,126.2,35
1778388791.4665036,128.0,126.2,36
1778388791.9614904,127.6,126.3,37
1778388792.4612343,126.8,126.3,38
1778388793.8367386,126.9,126.3,39
1778388794.3368583,126.6,126.3,40
1778388795.3342035,125.9,126.3,41
1778388797.2094586,125.9,126.3,42
1778388799.0841744,126.0,126.3,43
1778388801.5927527,125.6,126.3,44
1778388801.9600725,126.4,126.3,45
1778388802.8458838,127.4,126.3,46
1778388803.3337295,128.2,126.3,47
1778388803.8334637,128.1,126.4,48
1778388805.711474,128.0,126.4,49
1778388806.5914927,128.6,126.4,50
1778388807.0893202,128.6,126.5,51
1778388807.4649122,130.8,126.6,52
1778388808.4691446,130.4,126.6,53
1778388810.8406873,130.0,126.7,54
1778388811.342763,127.9,126.7,55
1778388812.590092,128.6,126.8,56
1778388813.2155995,126.5,126.7,57
1778388814.2180479,125.3,126.7,58
1778388815.0924895,125.4,126.7,59
1778388816.0889223,125.0,126.7,60
1778388817.9643757,125.1,126.6,61
1778388818.8456922,126.1,126.6,62
1778388819.8449879,126.2,126.6,63
1778388821.5956492,80.2,125.9,64
1778388822.8419406,137.7,126.1,65
1778388824.0889604,138.5,126.3,66
1778388826.596878,95.8,125.8,67
1778388829.091653,95.8,125.4,68
